transition phase in LB,stationary phase in LB,transition phase in LBG,stationary phase in LBG,sporulation early stage,sporulation late stage,germination,competence 30min,competence 90min,individual colonies,confluent colonies,swarming cells,biofilm,transition phase in M9,stationary phase in M9,from glucose to Malic acid and glucose,from glucose to fructose,from glucose to Malic acid,from glucose to glutamic acid and succinic acid,from glucose to pyruvate,from glucose to glycerol,from glucose to gluconate,anaerobic,starvation,low phosphate,phosphate limitation,high tempurature (51) in SMM,low tempurature  (16) in SMM,high salinity (1.2M) in SMM,high tempurature (48) in BMM,low tempurature (18) in BMM,ethanol,high salinity (0.4M) in SMM,mitomycin (45min),mitomycin (90min),"diamide (0.5mM at 5min and 15min)",diamide (0.6mM 10min),paraquat (0.4mM 10min),H2O2 (0.1mM at 10min),from glucose to malate (5min to 90min),"from glucose to malate (120min 150min)",from malate to glucose (5min to 90min),from malate to glucose (120min 150min),from LB to M9  in exponential phase,from LB to M9 in stationary phase,from SMM to BMM,from SMM to BMM heat,from SMM to BMM cold,from salt 0.4M to 1.2M,from OD500 0.4 to OD578 1 in SMM,from OD540 0.3 to OD600 0.6 in LB
T-3.40H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T-2.40H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T-1.40H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T-1.10H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T-0.40H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T0.0H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T0.30H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T1.0H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T1.30H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T2.0H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T2.30H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T3.0H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T3.30H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T4.0H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
T5.0H_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
HPh_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
HPh_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
HPh_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LPh_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LPh_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LPh_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LPhT_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LPhT_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LPhT_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
SMMPr_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,1,non
SMMPr_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,1,non
SMMPr_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,1,non
HiTm_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non
HiTm_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non
HiTm_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non
LoTm_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non
LoTm_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non
LoTm_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non
HiOs_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non
HiOs_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non
HiOs_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non
BMM_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non
BMM_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non
BMM_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non
Heat_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non
Heat_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non
Heat_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non
Cold_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non
Cold_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non
Cold_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non
Etha_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Etha_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Etha_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
SMM_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non
SMM_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non
SMM_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non
Salt_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non
Salt_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non
Salt_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non
Mt0_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Mt0_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Mt0_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M0t45_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M0t45_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M0t45_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M0t90_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M0t90_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M0t90_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M40t45_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M40t45_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M40t45_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M40t90_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M40t90_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
M40t90_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
dia0_1,non,non,non,non,non,non,0,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1
dia0_2,non,non,non,non,non,non,0,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1
dia0_3,non,non,non,non,non,non,0,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1
dia5_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
dia5_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
dia5_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
dia15_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
dia15_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
dia15_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Diami_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Diami_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Diami_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non
Paraq_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non
Paraq_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non
Paraq_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non
H2O2_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non
H2O2_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non
H2O2_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non
Oxctl_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,0
Oxctl_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,0
Oxctl_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,0,non,non,non,non,non,non,non,non,non,non,non,0
GM-0.1_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non
GM-0.2_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non
GM+5_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+15_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+25_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+45_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+60_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+90_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+120_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non
GM+150_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non
GM-0.1_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non
GM-0.2_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non
GM+5_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+10_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+15_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+25_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+45_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+60_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+90_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+150_2,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non
GM-0.1_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non
GM-0.2_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non
GM+5_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+10_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+15_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+25_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+45_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+60_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+90_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non
GM+120_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non
GM+150_3,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non,non
MG-0.1_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,0,non,non,non,non,non,non,non,non
MG+5_1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,1,non,non,non,non,non,non,non,non,non
